sample	name
SRR5909868	33-16 Root
SRR5909867	33-16 Shoot
SRR5909958	33-16 Kernel
SRR5909869	33-16 Leaf 3 Base
SRR5909957	33-16 Leaf 3 Tip
SRR5909865	33-16 Adult leaf (day)
SRR5909866	33-16 Adult leaf (night)
SRR5909697	38-11 Kernel
SRR5909696	38-11 Kernel
SRR5909873	38-11 Leaf 3 Base
SRR5909874	38-11 Leaf 3 Tip
SRR5909959	38-11 Adult leaf (night)
SRR5909693	4226 Root
SRR5909692	4226 Shoot
SRR5909701	4226 Kernel
SRR5909694	4226 Leaf 3 Base
SRR5909695	4226 L3Mid
SRR5909700	4226 Leaf 3 Tip
SRR5909699	4226 Adult leaf (day)
SRR5909698	4226 Adult leaf (night)
SRR5909821	4722 Kernel
SRR5909822	4722 Leaf 3 Base
SRR5909819	4722 Leaf 3 Tip
SRR5909820	4722 Adult leaf (night)
SRR5909824	A188 Shoot
SRR5909827	A188 Kernel
SRR5909825	A188 Leaf 3 Base
SRR5909828	A188 Leaf 3 Tip
SRR5909823	A188 Adult leaf (day)
SRR5909826	A188 Adult leaf (night)
SRR5909971	A214N Root
SRR5909970	A214N Shoot
SRR5909977	A214N Leaf 3 Base
SRR5909976	A214N Leaf 3 Tip
SRR5909972	A214N Adult leaf (day)
SRR5909973	A214N Adult leaf (night)
SRR5909978	A239 Root
SRR5909975	A239 Shoot
SRR5909966	A239 Kernel
SRR5909979	A239 Leaf 3 Base
SRR5909967	A239 Leaf 3 Tip
SRR5909974	A239 Adult leaf (night)
SRR5911446	A272 Root
SRR5911449	A272 Shoot
SRR5911447	A272 Kernel
SRR5911448	A272 Adult leaf (day)
SRR5911227	A272 Adult leaf (night)
SRR5909962	A441-5 Root
SRR5909963	A441-5 Shoot
SRR5909968	A441-5 Kernel
SRR5909961	A441-5 Leaf 3 Base
SRR5909960	A441-5 L3Mid
SRR5909969	A441-5 Leaf 3 Tip
SRR5909965	A441-5 Adult leaf (day)
SRR5909964	A441-5 Adult leaf (night)
SRR5910119	A554 Root
SRR5910118	A554 Shoot
SRR5910120	A554 Leaf 3 Base
SRR5910116	A554 Adult leaf (day)
SRR5910117	A554 Adult leaf (night)
SRR5909624	A556 Root
SRR5910123	A556 Shoot
SRR5909772	A556 Kernel
SRR5909773	A556 Leaf 3 Tip
SRR5910121	A556 Adult leaf (day)
SRR5910122	A556 Adult leaf (night)
SRR5909768	A6 Root
SRR5909769	A6 Shoot
SRR5909767	A6 Kernel
SRR5909771	A6 Leaf 3 Base
SRR5909770	A6 Leaf 3 Tip
SRR5909775	A6 Adult leaf (day)
SRR5909774	A6 Adult leaf (night)
SRR5909905	A619 Root
SRR5909908	A619 Shoot
SRR5909903	A619 Kernel
SRR5909906	A619 Leaf 3 Base
SRR5909766	A619 Adult leaf (day)
SRR5909907	A619 Adult leaf (night)
SRR5909899	A632 Root
SRR5909902	A632 Shoot
SRR5909889	A632 Kernel
SRR5909900	A632 Leaf 3 Base
SRR5909890	A632 Leaf 3 Tip
SRR5909901	A632 Adult leaf (day)
SRR5909904	A632 Adult leaf (night)
SRR5909894	A634 Root
SRR5909887	A634 Shoot
SRR5909892	A634 Kernel
SRR5909893	A634 Leaf 3 Base
SRR5909888	A634 Adult leaf (night)
SRR5909895	A635 Root
SRR5909896	A635 Shoot
SRR5910050	A635 Kernel
SRR5910049	A635 Leaf 3 Base
SRR5909891	A635 Adult leaf (night)
SRR5910046	A641 Root
SRR5910045	A641 Shoot
SRR5910048	A641 Kernel
SRR5910047	A641 Leaf 3 Base
SRR5910051	A641 Adult leaf (day)
SRR5910052	A641 Adult leaf (night)
SRR5909810	A654 Root
SRR5909811	A654 Shoot
SRR5909815	A654 Kernel
SRR5909809	A654 Leaf 3 Base
SRR5909808	A654 Leaf 3 Tip
SRR5910043	A654 Adult leaf (day)
SRR5910044	A654 Adult leaf (night)
SRR5909812	A659 Root
SRR5909670	A659 Kernel
SRR5909816	A659 Leaf 3 Base
SRR5909817	A659 Leaf 3 Tip
SRR5909814	A659 Adult leaf (day)
SRR5909813	A659 Adult leaf (night)
SRR5909666	A661 Root
SRR5909673	A661 Shoot
SRR5909669	A661 Kernel
SRR5909667	A661 Leaf 3 Base
SRR5909668	A661 Leaf 3 Tip
SRR5909671	A661 Adult leaf (day)
SRR5909672	A661 Adult leaf (night)
SRR5910098	A679 Root
SRR5910099	A679 Shoot
SRR5910095	A679 Kernel
SRR5910101	A679 Leaf 3 Base
SRR5910100	A679 Leaf 3 Tip
SRR5909678	A679 Adult leaf (day)
SRR5909679	A679 Adult leaf (night)
SRR5910053	A680 Root
SRR5910097	A680 Shoot
SRR5909950	A680 Kernel
SRR5910093	A680 Leaf 3 Base
SRR5909723	A680 Leaf 3 Tip
SRR5910094	A680 Adult leaf (night)
SRR5909946	A682 Root
SRR5909949	A682 Shoot
SRR5909945	A682 Kernel
SRR5909947	A682 Leaf 3 Base
SRR5909944	A682 Leaf 3 Tip
SRR5909948	A682 Adult leaf (day)
SRR5909951	A682 Adult leaf (night)
SRR5909897	Ab28A Root
SRR5909898	Ab28A Shoot
SRR5909842	Ab28A Kernel
SRR5909844	Ab28A Leaf 3 Base
SRR5909843	Ab28A Leaf 3 Tip
SRR5909942	Ab28A Adult leaf (day)
SRR5909943	Ab28A Adult leaf (night)
SRR5909839	B10 Kernel
SRR5909840	B10 Leaf 3 Tip
SRR5909841	B10 Adult leaf (night)
SRR5909729	B103 Root
SRR5909728	B103 Shoot
SRR5909730	B103 Leaf 3 Base
SRR5909731	B103 Leaf 3 Tip
SRR5909910	B103 Adult leaf (day)
SRR5909909	B103 Adult leaf (night)
SRR5909734	B104 Root
SRR5909733	B104 Shoot
SRR5909735	B104 Kernel
SRR5909732	B104 Adult leaf (night)
SRR5910096	B105 Root
SRR5909727	B105 Shoot
SRR5909636	B105 Kernel
SRR5909634	B105 Leaf 3 Base
SRR5909637	B105 Leaf 3 Tip
SRR5909726	B105 Adult leaf (night)
SRR5909641	B109 Root
SRR5909638	B109 Shoot
SRR5909640	B109 Leaf 3 Base
SRR5909643	B109 Leaf 3 Tip
SRR5909639	B109 Adult leaf (night)
SRR5909994	B14A Root
SRR5909993	B14A Shoot
SRR5909992	B14A Kernel
SRR5909991	B14A Leaf 3 Tip
SRR5909642	B14A Adult leaf (night)
SRR5909995	B164 Root
SRR5909998	B164 Shoot
SRR5910002	B164 Kernel
SRR5909763	B164 Leaf 3 Base
SRR5909764	B164 Leaf 3 Tip
SRR5909997	B164 Adult leaf (night)
SRR5909686	B2 Shoot
SRR5909691	B2 Kernel
SRR5909685	B2 Leaf 3 Base
SRR5909684	B2 Leaf 3 Tip
SRR5909687	B2 Adult leaf (night)
SRR5909688	B37 Root
SRR5909689	B37 Shoot
SRR5910060	B37 Kernel
SRR5909682	B37 Leaf 3 Base
SRR5909683	B37 Leaf 3 Tip
SRR5909690	B37 Adult leaf (night)
SRR5910063	B46 Shoot
SRR5910056	B46 Leaf 3 Base
SRR5910057	B46 L3Mid
SRR5910058	B46 Leaf 3 Tip
SRR5910062	B46 Adult leaf (day)
SRR5910061	B46 Adult leaf (night)
SRR5910114	B52 Root
SRR5910055	B52 Shoot
SRR5909644	B52 Leaf 3 Base
SRR5910115	B52 Leaf 3 Tip
SRR5910054	B52 Adult leaf (day)
SRR5910059	B52 Adult leaf (night)
SRR5909647	B57 Root
SRR5909646	B57 Shoot
SRR5910092	B57 Kernel
SRR5909648	B57 Leaf 3 Base
SRR5909649	B57 Leaf 3 Tip
SRR5909645	B57 Adult leaf (night)
SRR5909787	B64 Root
SRR5909938	B64 Shoot
SRR5909783	B64 Kernel
SRR5909784	B64 Kernel
SRR5909786	B64 Leaf 3 Base
SRR5909785	B64 Leaf 3 Tip
SRR5909939	B64 Adult leaf (day)
SRR5909635	B64 Adult leaf (night)
SRR5909954	B68 Root
SRR5909797	B68 Shoot
SRR5909912	B68 Kernel
SRR5909914	B68 Leaf 3 Base
SRR5909915	B68 Leaf 3 Tip
SRR5909782	B68 Adult leaf (night)
SRR5909742	B73 Root
SRR5909746	B73 Root
SRR5909740	B73 Root
SRR5909741	B73 Root
SRR5910113	B73 Root
SRR5909847	B73 Root
SRR5909848	B73 Root
SRR5909849	B73 Root
SRR5909851	B73 Root
SRR5909845	B73 Root
SRR5909850	B73 Root
SRR5909852	B73 Root
SRR5909853	B73 Root
SRR5909854	B73 Root
SRR5910004	B73 Root
SRR5909846	B73 Root
SRR5910003	B73 Root
SRR5910090	B73 Shoot
SRR5910105	B73 Shoot
SRR5910111	B73 Shoot
SRR5909736	B73 Shoot
SRR5909737	B73 Shoot
SRR5909743	B73 Shoot
SRR5910091	B73 Shoot
SRR5910110	B73 Shoot
SRR5910006	B73 Kernel
SRR5909632	B73 Kernel
SRR5909703	B73 Kernel
SRR5909704	B73 Kernel
SRR5909705	B73 Kernel
SRR5910073	B73 Kernel
SRR5910075	B73 Kernel
SRR5909702	B73 Kernel
SRR5909712	B73 Kernel
SRR5909980	B73 Kernel
SRR5910074	B73 Kernel
SRR5910031	B73 Leaf 3 Base
SRR5910032	B73 Leaf 3 Base
SRR5910023	B73 Leaf 3 Base
SRR5910024	B73 Leaf 3 Base
SRR5910025	B73 Leaf 3 Base
SRR5910029	B73 Leaf 3 Base
SRR5909762	B73 Leaf 3 Base
SRR5910026	B73 Leaf 3 Base
SRR5910027	B73 Leaf 3 Base
SRR5910028	B73 Leaf 3 Base
SRR5910030	B73 Leaf 3 Base
SRR5909983	B73 Leaf 3 Base
SRR5909981	B73 Leaf 3 Base
SRR5909984	B73 Leaf 3 Base
SRR5909986	B73 Leaf 3 Base
SRR5909988	B73 Leaf 3 Base
SRR5909990	B73 Leaf 3 Base
SRR5909985	B73 Leaf 3 Base
SRR5909987	B73 Leaf 3 Base
SRR5909707	B73 Leaf 3 Base
SRR5909706	B73 Leaf 3 Base
SRR5909708	B73 Leaf 3 Base
SRR5909837	B73 Leaf 3 Base
SRR5910108	B73 Leaf 3 Base
SRR5910109	B73 Leaf 3 Base
